Precio|Ubicación|Ciudad|Expensas|Habitaciones|Baños|Área|Estacionamientos|Descripción|Destacado|Características Principales|Enlace
234900|Gonzàlez Suàrez|González Suárez, Quito|94|3|2|100|1|Espectacular Departamento de Venta con Balcón. 3 Dormitorios. 157 m2. Sector. González Suárez. Sala Comedor con Balcón, linda vista e iluminación natural. Baño Social. Amplia Cocina con Muebles Altos y Bajos. 1 Habitación Máster con Balcón, Wolking Clóset y Baño Completo. 2 Habitaciones con Balcón cada una, Clósets y Baño Completo Compartido. Sala de Estar o Ver tv con Balcón. Área de Máquinas. 2 Parqueaderos. 1 Bodega. El Edificio cuenta con: Servicio de Guardianía 24/7. Ascensores Mitsubishi. Jacuzzi Exterior con Terraza Lounge. Gimnasio Equipado. Turco. Área bbq. Sala Comunal. Salón Audiovisual con wi fi. Área de Juegos. Generador de Luz. Circuito Cerrado de Cámaras. Cerraduras antipánico. Precio $ 234. 900|Super destacado|157 m² tot. 3 hab. 3 baños 2 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-departamento-de-venta-3d-con-balcon-sector.-gonzalez-144233218.html
110000|Iñaquito Alto S/N|Iñaquito Alto, Quito|65|2|2|140|2|Ver datos/ Vendo moderno departamento en Iñaquito alto. Balcones internos. 100 metros de construcción. 2 dormitorios. 2 baños completos. 2 parqueaderos. 1 bodega. Piscina. Gimnasio. Área de bbq. Alicuota Usd138. 7 años. Guardiania 24 horas. Usd 110. 000|Super destacado|100 m² tot. 2 hab. 2 baños 2 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-de-venta-moderno-departamento-en-inaquito-alto-143974831.html
195000|Suecia|Centro Norte, Quito|1|3|3|109|1|Departamento de 140 metros. Zona social amplia con cocina estilo americano. Zona de maquinas. Baño social. 3 dormitorios cada uno con baño. Todo el departamento está en perfecto estado con piso de chanul y muy buenos acabados. El edificio cuenta con guardiania 24 horas. 195. 000 dólares no negociables. Alicuota 103 dólares. Terraza comunal con jardines y bbq. Planta eléctrica. 2 parqueaderos independientes. Bodega|Super destacado|140 m² tot. 3 hab. 3 baños 2 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-departamento-en-la-suecia-y-republica-del-salvador-143986643.html
49300|Ciudad Jardín|Sur de Quito, Quito|N/A|1|1|69|1|Departamento de 3 habitaciones en Ciudad Jardín Sur de Quito. ¿Sueñas con tener tu propio espacio y dejar de pagar renta en un vecindario privado en el sur de Quito? Características Principales: 3 Habitaciones: Espacio para toda la familia y tus necesidades. Suite Principal con Baño Privado: Tu propio oasis de confort y comodidad. Parqueadero Privado: Protege tu vehículo en tu propia propiedad. Bodega: Almacenamiento adicional para tus pertenencias. Ubicación Inigualable: Ciudad Jardín Sur de Quito. Ciudad Jardín Sur es conocida por su ambiente tranquilo, seguridad y comodidad. Acceso rápido a tiendas, restaurantes, parques y servicios. Excelentes escuelas y opciones de entretenimiento a pocos minutos de distancia, tiendas, panadería, farmacia, ferretería y muchas opciones más, el acceso es por la Avenida Simón Bol´ívar o por la Av. Maldonado. A 10 minutos de C. C. Quicentro Sur, Municipio, Plataforma Gubernamental. Libre de contaminación y ruido, colinda con el parque Metropolitano del Sur, la urbanización está rodeada de 170 hectáreas de áreas verdes. Detalles Adicionales: Amplia sala de estar con abundante luz natural. Cocina amplia estilo americano, con muebles altos y bajos. Precio de Oportunidad.|Super destacado|109 m² tot. 1 hab. 2 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-venta-departamento-ciudad-jardin-sur-de-quito.-141735605.html
135000|Invierte en Torres JW Marriott Exclusividad Para ti|La Orellana, Quito|135|1|2|105|1|Suite completamente amoblada en Venta, con acabados de lujo, ubicado en lugar estratégico, cerca de lineas de buses, parques, gimnasio y restaurantes. Características: - 1 habitación -1 baño-1 parqueadero- 1 bodega - terraza- piscinaamenities jw marriott Diseñado para que todas las suites tengan experiencias de alta calidad, ofrecemos: • Servicio de room service• Moderno Gimnasio•Piscina temperada• Spa• Estéticas de alto nivel• Gastronomía en nuestros exquisitos restaurantes, Fogo de Chão, Raíces, Botanica by Bistro Latino, Cafetería y Pastelería de parte de nuestro Meet Gourmet y un exclusivo bar Restaurante The Exchange y Kaori • Business Centeramenities residencecon el fin de brindarles a todas nuestros residentes un servicio de confort y lujo ofrecemos: • Ascensor de servicio para alimentos y bebidas, lavandería en seco, en agua y limpieza. • Áreas de recreación, con una sala de cine, una sala de tv, área de juego de ping-pong y sala de ajedrez. • Bussines Center, perfecto para tus reuniones. • Salón de Reuniones• Terraza, con amplios espacios de recreación, restaurantes, área bbq y pérgolas. Precio $135. 000Contáctanos! Estamos felices de atenderte, somos Hauser Ecuador!! Pregúntanos por nuestros recorridos online o más opciones inmobiliarias para ti.|Super destacado|69 m² tot. 1 hab. 1 baño 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-oportunidad-inversion-suite-amoblada-en-venta-torres-144206070.html
213855|Av. Miguel Ángel, La Primavera 1|Cumbayá, Quito|98|2|2|94|1|- Ubicación privilegiada, con cercanía a centros comerciales, restaurantes, parques, colegios, universidades y hospitales, que te brindarán mayor comodidad. - Área comunales: piscina, hidromasaje, terraza comunal en cada torre con área bbq, baño y jardín, salón comunal. El departamento consta de: 2 dormitorios. 2 baños completos. Lavandería. Sala-comedor. Cocina. Balcón. Jardín. 2 parqueaderos. 1 bodega. áreas: Área Total: 105, 95 m2. Área útil: 100, 76 m2. Balcón: 5, 19 m2|Super destacado|105 m² tot. 2 hab. 2 baños 2 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-vista-al-pichincha-venta-departamento-de-2-dorm.-con-143260748.html
148000|CUMBAYA - LA PRIMAVERA 2|Cumbayá, Quito|105|2|2|130|1|"¡en cumbaya! Disfruta del confort y calidez que te ofrece este maravilloso apartamento moderno situadoenCumbayá. Ambientes pensados en tu comodidad. Ideal para quienes buscan vivir en un lugar tranquilo con magnificoclima. Ubicación. Privilegiada ubicación, a 7 minutos de la Universidad San Francisco y Paseo San Francisco, 5 minutos del Scala Shopping y del Hospital de los Valles, 2 minutos de la Ruta Viva, apocos pasos de parques con canchas deportivas y áreas verdes. Sobre la propiedad. | La Primavera 2| Edificio Independiente|Entorno tranquilo y seguro| Por estrenar|94 m2 de construcción|Segundo Piso |Iluminación natural| Excelente distribución| Balcón | Dos Habitaciones| Sala - Comedor en un mismo ambiente| Cocina estilo americano con mesones de granito| Cuarto de máquinascon piedra de lavar|Bodega|2 Parqueaderos| servicios. Lobby | Ascensor| valor $ 148. 000. planifica tu visita. cbr. wendy lopez. 0. 9. 8. 0. 8. 6. 9. 0. 9. 1. juan carlos rueda. 0. 9. 5. 8. 6. 9. 4. 8. 0. 7"|Super destacado|94 m² tot. 2 hab. 2 baños 2 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-cumbaya-94-m-sup2--en-venta-apartamento-por-estrenar-142308481.html
194039|CALLE EL BATAN N34-41 Y ELOY ALFARO|Centro Norte, Quito|60|3|2|90|1|Bienvenido a Edificio Estrella X, tu hogar en el corazón del Centro Norte de la ciudad de Quito. Nuestro edificio se encuentra estratégicamente ubicado en el centro financiero, rodeado de comodidades que hacen que la vida urbana sea aún más placentera. Imagina vivir a solo unos pasos de paradas de transporte público, centros comerciales como el Megamaxi, bancos, hospitales y el icónico Parque La Carolina. En Edificio Estrella X, la conveniencia es parte de tu estilo de vida diario. Además de su privilegiada ubicación, nuestro edificio ofrece un oasis de tranquilidad y comodidad con guardianía privada permanente, dos ascensores para tu conveniencia y tres subsuelos de estacionamiento para garantizar que siempre tengas un lugar seguro para tu vehículo. Nuestros residentes también disfrutan de una amplia gama de amenidades exclusivas, como áreas de jogging para mantenerse activos, zonas húmedas con sauna, turco e hidromasaje para relajarse después de un largo día, gimnasios completamente equipados para mantenerse en forma, un salón comunal para eventos sociales, una cancha de soccer para divertirse con amigos, fire pit para noches acogedoras y zona bbq para celebrar ocasiones especiales. Pero lo mejor de todo es la vista panorámica de 360 grados de la ciudad de Quito que puedes disfrutar desde nuestras terrazas. Ya sea que estés disfrutando del amanecer con una taza de café o contemplando las luces de la ciudad por la noche, cada momento será inolvidable. Nuestros departamentos son espaciosos y confortables, con hasta 111 m² de área, balcones para disfrutar del aire fresco y una distribución inteligente que aprovecha al máximo cada metro cuadrado. No pierdas la oportunidad de vivir en Edificio Estrella X, donde la comodidad, la seguridad y el estilo de vida urbano se fusionan para ofrecerte la experiencia de vida que te mereces. ¡Contáctame hoy para conocer más detalles y programar una visita!|Super destacado|130 m² tot. 3 hab. 2 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-departamento-de-3-dorm.-por-estrenar-centro-norte-55630943.html
220000|Shyris y suecia|La Carolina, Quito|85|2|3|265|2|"Espectacular Departamento de Estreno en Edificio Exclusivo en Quito - iqon Uribe Schwarzkopf. Domótica ï | Edificio Petfriendly | Política 100% no AirBnb (Tranquilidad y Seguridad Garantizada) ï Servicios del Edificio: ï Lobby. Guardianía 24 horas. Circuito cerrado de cámaras. ð Elevadores. Piscina con vista en la terraza. Gimnasio Full equipado. Sauna. Turco. Hidromasaje. ï Terraza. bbq. Cuarto de música. Bowling. Cuarto de Póker. Generador eléctrico de emergencia. Sala de juegos. Kids room. Co-working. ï Parqueadero de visitas. Control de accesos en todas las áreas. Detección y extinción de incendios automático. Departamento: 90m. 2 Dormitorios (Piso 16, espectacular vista) 2 Balcones. 2 Baños completos. 1 Baño social. Sala, Comedor, Cocina. Parqueadero incluido. Renta: usd 1800 (Incluye alícuota de $200 y agua caliente/fría)"|Super destacado|90 m² tot. 2 hab. 3 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-edificio-moderno-quito-iqon-departamento-amoblado-en-143880269.html
155000|Av. Coruña y Ernesto Noboa|La Coruña, Quito|116|3|2|88|2|Departamento en venta, en uno de los mejores lugares de la capital, el sector de la Gonzales Suarez y Coruña. El departamento es bastante amplio, cuenta con 213 m2 de superficie. cubierta, balcón, 3 parqueaderos y bodega. Ingresando por el departamento te encuentras con un recibidor el mismo. que nos dirige al área social, sala grande y comedor espacioso, en ambientes. separados y con excelente entrada de luz. Ingresando a la derecha se encuentra la cocina, es amplia y con espacio. para desayunador cuenta con despensa y áea de máquinas, además de. cuarto y baño completo de servicio. También cuenta con baño social en ésta primera área del departamento. Ingresando por el área de descanso tenemos una sala de estar o estudio y. a continuación tenemos los dormitorios. Un dormitorio master de buen tamaño, con balcón, baño privado con tina. de baño y closets de pared a pared. Dos dormitorios más de tamaño normal, con closets y buena entrada. de luz natural que comparten un baño completo con ducha que se. encuentra entre los dos. El departamento es bastante amplio por lo que su precio, es bastante. atractivo puesto que el mismo tiene bastante potencial y excelente. ubicación. El edificio cuenta con ascensor, puertas de ingreso eléctricas, conserje y generador eléctrico para todas las áreas comunales.|Super destacado|265 m² tot. 3 hab. 3 baños 3 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-bonito-departamento-en-venta-3-dorm.-sector-coruna-65593236.html
135000|Bossano|Bosmediano, Quito|N/A|2|N/A|128|N/A|Informes: Isabel Rowland cbr Reg acbrt No 900. Bonito departamento en zona Bosmediano, en perfecto estado. 88 m: sala-comedor, área tipo estudio. Piso 12, preciosa vista al Pichincha. Cocina semiabierta, lavandería. 2 dormitorios, master con baño completo. Baño adicional para el otro dormitorio y como baño social. Excelentes acabados, Piso de bambú, detalles de diseño en techos e iluminación. 1 Parqueadero. En área comunal: Terraza con zona de bbq, Gimnasio equipado, vista a la ciudad. Seguridad 24 h|Super destacado|88 m² tot. 2 hab. 2 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-departamento-de-venta-en-zona-bosmediano-143297236.html
125000|Villalengua-Granda centeno|Centro Norte, Quito|N/A|2|N/A|130|N/A|Inmobiliaria Inmoplus te ofrece en venta un Departamento con excelente ubicación, de 101m2 de construcción de 2 dormitorios ubicado en un 4to piso, y su inversión de usd$ 125. 000. Ubicación del Departamento. Este amplio Departamento Centro norte de Quito-Granda Centeno, está ubicado en una zona céntrica a pocos de la Carolina, cerca de gimnasios, cafeterías, restaurantes, clínicas, colegios, entidades bancarias, medios de transporte, centros comerciales, fácil acceso a las principales avenidas de la encuentra en una zona céntrica. Características del Departamento Centro norte de Quito -Granda Centeno. Este departamento cuenta con: -101 metros de construcción. -2dormitorios. -2 y medio baños. -Amplia y luminosa Sala y comedor. -Cocina abierta. -2 parqueos. -1 bodega. -Calentamiento eléctrico. Esta propiedad puede ser tuya por tan solo $ 125. 000. Amenities. Este edificio tiene los siguientes amenities: -Sala comunal. -Terraza con área de bbq. –Amplios espacios interiores incluye balcones. -Vigilancia permanente. -Acceso a parqueaderos con control remoto. Llena el formulario y será un gusto atenderte|Super destacado|128 m² tot. 2 hab. 2 baños 2 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-departamento-granda-centeno-2-dorm.-90936098.html
129000|MONTESERRIN|Monteserrín, Quito|N/A|3|N/A|97|N/A|Buen departamento de 3 dormitorios con ascensor Y terraza, sector monteserrín! 130 m2 construcción + 40m2 de terraza. Primer piso alto. sala. comedor. baño social. cocina cerrada. área de máquinas. 3 dormitorios amplios cada uno con su baño. 1 bodega. 1 parqueadero. Área comunal del edificio. Área con piedra de lavar y colgadero. Edificio de 5 pisos con ascensor. A 2 minutos del Ecopark, udla, farmacias, tiendas, supermercados, línea de bus, etc. Precio renta $650. Precio venta $129. 000|Super destacado|130 m² tot. 3 hab. 3 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-buen-departamento-de-3-dorm.-con-ascensor-y-terraza-144195483.html
75000|Los pinos y Galo Plaza Lasso|La Kennedy, Quito|N/A|3|N/A|83|N/A|En venta hermoso departamento en edificio Los Pinos, año 2000 (24 años). 97mtr. Remodelado en el 2021. Sala comedor, cocina abierta, a gas, Cocina piso porcelanato, sala comedor y dormitorios flotante, Paredes blancas, Área de máquinas con puerta (1 puesto) con cerámica a media pared. Máster con baño privado revestimiento cerámica, cortina plástica en ducha, closet de pared a pared, 2 dormitorios con closets cada uno, comparten baño (ventilación natural los 2). Precio $ 75. 000. A las ordenes. Multigestion: María del Pilar Corella. Ver datos. Adrian Rueda. Ver datos|Super destacado|97 m² tot. 3 hab. 1 baño 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-en-venta-hermoso-departamento-sector-los-143965949.html
95000|Whymper y Diego de Almagro|La Carolina, Quito|N/A|2|N/A|104|N/A|Venta hermoso departamento de 2 dormitorios sector Whymper. Sala y comedor en un solo ambiente. Cocina estilo americana, con plancha a gas y horno. Extractor de olor y espacio para lavadora y secadora en torre. Amplio dormitorio master con baño privado. Dormitorio adicional, que puede funcionar como estudio. Cuenta con baño completo que comparte con el área social. 1 amplio parqueadero. Ubicación estratégica, a una cuadra de la Av. 6 de Diciembre, frente a la Iglesia de la Paz, cerca de la Av. González Suárez. Cerca de centros comerciales, centro financiero de Quito, acceso al Túnel Guayasamín. *No cuenta con bodega|Super destacado|83 m² tot. 2 hab. 2 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-venta-departamento-2-dorm.-sector-whymper-144416381.html
112000|Vendo Deartamento 3 Habitaciones Sector La Coruña , Whymper|La Coruña, Quito|N/A|3|N/A|115|N/A|Acogedory lumiinoso departamento de 90 metros utiles muy bien distribuidos mas un parqueo y bodegaSala comedor unida con piso de porcelanato y comoda cocina americana. Dos luminosas habitaciones comparten un baño Master amplio con baño incorporadoEl departamento se entrega con lamparas y cortinas.|Super destacado|104 m² tot. 3 hab. 2 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-vendo-deartamento-3-habitaciones-sector-la-coruna-144463951.html
89000|Moises Luna Andrade|Ponceano, Quito|N/A|2|N/A|156|N/A|Ubicado a pocos metros del Supermaxi, plazas comerciales, colegios, en el Edificio Kiron, dentro de una cuchara con control de acceso automática, guardianía presencial 24/7, se encuentra este hermoso departamento. 75 m2 habitables. 40 m2 de terraza propia con pérgola y cerco de vidrio templado. 2 dormitorios. 2 baños y medio. sala comedor. estación de café cocina americana. area de máquinas. acabados de lujo. cerradura inteligente. primer piso alto. 1 parqueadero. 1 bodega. Alicuota $105 (incluye agua y gas)|Super destacado|115 m² tot. 2 hab. 2 baños 1 estac.|https://www.plusvalia.com/propiedades/clasificado/veclapin-venta-departamento-2d-ponceano-alto-144513019.html
